id	gene_short_name	num_cells_expressed
LOC109620951	uncharacterized LOC109620951	7
LOC117688524	scavenger receptor class F member 2-like	0
LOC105322573	multiple epidermal growth factor-like domains protein 10	40
LOC117688698	uncharacterized LOC117688698	0
LOC117688692	cell death abnormality protein 1-like	1
LOC117688701	uncharacterized LOC117688701_ncRNA	5
LOC117688700	uncharacterized LOC117688700_ncRNA	31
LOC117688696	piggyBac transposable element-derived protein 4-like	14
LOC117688688	chitin synthase chs-2-like	2
LOC109620541	uncharacterized LOC109620541	116
LOC117688690	tyrosine-protein phosphatase non-receptor type 6-like	0
LOC117688695	uncharacterized LOC117688695	1
LOC117688697	receptor-type tyrosine-protein phosphatase C-like	11
LOC117680389	uncharacterized LOC117680389	0
LOC117688525	uncharacterized LOC117688525	1
LOC117688707	uncharacterized LOC117688707_ncRNA	0
LOC105323209	scavenger receptor class F member 1	0
LOC105323208	uncharacterized LOC105323208_ncRNA	0
LOC117688710	multiple epidermal growth factor-like domains protein 10	0
LOC117688711	uncharacterized LOC117688711_ncRNA	0
LOC117688713	uncharacterized LOC117688713	0
LOC117688714	uncharacterized LOC117688714	26
LOC105330408	low affinity immunoglobulin epsilon Fc receptor	47
LOC117688526	multiple epidermal growth factor-like domains protein 10	0
LOC117688717	uncharacterized LOC117688717	21
LOC117680495	putative nuclease HARBI1	23
LOC117688712	multiple epidermal growth factor-like domains protein 6	0
LOC117688716	bacterial dynamin-like protein	0
LOC117688715	uncharacterized LOC117688715	7
LOC109619118	multiple epidermal growth factor-like domains protein 10	0
LOC117688527	multiple epidermal growth factor-like domains protein 11	0
LOC117688719	uncharacterized LOC117688719	267
LOC117688718	uncharacterized LOC117688718	5
LOC109618381	multiple epidermal growth factor-like domains protein 10	0
LOC105339659	cell death abnormality protein 1	5
LOC117688720	uncharacterized LOC117688720_ncRNA	0
LOC117687290	multiple epidermal growth factor-like domains protein 10	0
LOC105342271	uncharacterized LOC105342271	122
LOC117687208	uncharacterized LOC117687208	0
LOC105324575	uncharacterized LOC105324575_ncRNA	19
LOC117687021	uncharacterized LOC117687021	0
LOC117687022	uncharacterized LOC117687022_ncRNA	0
LOC117687077	fucolectin-1-like	1
LOC105323028	uncharacterized LOC105323028_ncRNA	0
LOC117688528	fucolectin-1-like	0
LOC117687086	uncharacterized LOC117687086	0
LOC117687085	uncharacterized LOC117687085	2
LOC117687084	uncharacterized LOC117687084	3
LOC105320988	scavenger receptor class F member 2-like	1
LOC117687062	uncharacterized LOC117687062	0
LOC117687061	uncharacterized LOC117687061	6
LOC117687063	uncharacterized LOC117687063_ncRNA	12
LOC117687231	uncharacterized LOC117687231_ncRNA	46
LOC117688008	uncharacterized LOC117688008_ncRNA	1
LOC117688529	uncharacterized LOC117688529	1
LOC117680648	uncharacterized LOC117680648_ncRNA	8
LOC105324899	C-C chemokine receptor type 8	1
LOC105336441	uncharacterized LOC105336441	0
LOC117688530	uncharacterized LOC117688530	0
LOC117687004	uncharacterized LOC117687004	2
LOC117687005	ATP-dependent DNA helicase RecQ-like	10
LOC117687006	cerebellin-3-like	0
LOC105325265	uncharacterized LOC105325265	1
LOC117688531	uncharacterized LOC117688531	3
LOC109618227	uncharacterized LOC109618227_ncRNA	1239
LOC117687731	olfactory receptor 2Z1-like	4
LOC105346222	uncharacterized LOC105346222	41
LOC117688532	N-lysine methyltransferase KMT5A-like	12
LOC117687732	uncharacterized LOC117687732	3
LOC105346527	uncharacterized LOC105346527	173
LOC117687733	CX3C chemokine receptor 1-like	0
LOC117687735	uncharacterized LOC117687735	2
LOC117687734	uncharacterized LOC117687734	44
LOC117687222	uncharacterized LOC117687222	2
LOC105321640	uncharacterized LOC105321640	1
LOC117686946	uncharacterized LOC117686946_ncRNA	11
LOC117687601	uncharacterized LOC117687601_ncRNA	23
LOC117687318	kunitz-type serine protease inhibitor Bi-KTI-like	0
LOC105334275	uncharacterized LOC105334275_ncRNA	3
LOC105322535	multiple epidermal growth factor-like domains protein 10	0
LOC117687771	uncharacterized LOC117687771	0
LOC117686993	uncharacterized LOC117686993	0
LOC117687159	uncharacterized LOC117687159	3
LOC117687265	uncharacterized LOC117687265_ncRNA	0
LOC105339873	uncharacterized LOC105339873	3
LOC105339870	plancitoxin-1	45
LOC105339869	uncharacterized LOC105339869_ncRNA	1
LOC105339868	kappaPI-actitoxin-Avd3e	11
LOC105341927	uncharacterized LOC105341927	4
LOC117688349	uncharacterized LOC117688349	0
LOC117687151	uncharacterized PE-PGRS family protein PE_PGRS54-like	0
LOC117680530	plancitoxin-1-like	0
LOC105327091	multiple epidermal growth factor-like domains protein 10	2
LOC105332005	cell death abnormality protein 1-like	31
LOC105319251	uncharacterized LOC105319251_misc_RNA	0
LOC117686847	cell death-related nuclease 6-like	0
LOC105324419	uncharacterized LOC105324419_ncRNA	2
LOC105345737	multiple epidermal growth factor-like domains protein 10	16
LOC117686860	uncharacterized LOC117686860_ncRNA	5
LOC117686856	uncharacterized LOC117686856_ncRNA	5
LOC117686849	uncharacterized LOC117686849	56
LOC117686861	uncharacterized LOC117686861_ncRNA	1
LOC105339866	uncharacterized LOC105339866	0
LOC105339864	hornerin	0
LOC109618694	uncharacterized LOC109618694_ncRNA	2
LOC117686853	uncharacterized LOC117686853_ncRNA	3
LOC117686852	uncharacterized LOC117686852_ncRNA	5
LOC105339863	cell death-related nuclease 6	0
LOC117680531	uncharacterized LOC117680531	35
LOC109619994	uncharacterized LOC109619994_ncRNA	2
LOC105327090	multiple epidermal growth factor-like domains protein 11	24
LOC105337794	uncharacterized LOC105337794_ncRNA	1
LOC105336116	uncharacterized LOC105336116_ncRNA	2
LOC117686851	uncharacterized LOC117686851	5
LOC117686859	uncharacterized LOC117686859_ncRNA	2
LOC117686858	uncharacterized LOC117686858_ncRNA	22
LOC117686845	uncharacterized LOC117686845	0
LOC117686854	uncharacterized LOC117686854_ncRNA	0
LOC105345632	uncharacterized LOC105345632	6
LOC117686848	uncharacterized LOC117686848	0
LOC109618870	uncharacterized LOC109618870	10
LOC117686846	deoxyribonuclease-2-alpha-like	1
LOC117686857	uncharacterized LOC117686857_ncRNA	1
LOC117686862	uncharacterized LOC117686862_ncRNA	1
LOC105338199	uncharacterized LOC105338199	2
LOC105320598	multiple epidermal growth factor-like domains protein 10	20
LOC117687424	uncharacterized LOC117687424_ncRNA	24
LOC117687176	multiple epidermal growth factor-like domains protein 10	0
LOC105318153	uncharacterized LOC105318153	1
LOC117680393	uncharacterized LOC117680393	30
LOC105319061	multiple epidermal growth factor-like domains protein 10	0
LOC105319071	uncharacterized LOC105319071	0
LOC105319060	uncharacterized LOC105319060	0
LOC105327349	uncharacterized LOC105327349_ncRNA	6
LOC117687518	uncharacterized LOC117687518_ncRNA	142
LOC117687519	uncharacterized LOC117687519_ncRNA	0
LOC105319059	uncharacterized LOC105319059	6
LOC109619603	uncharacterized LOC109619603	12
LOC117687520	uncharacterized LOC117687520	16
LOC117687521	uncharacterized LOC117687521_ncRNA	103
LOC105333298	uncharacterized LOC105333298	0
LOC117687522	uncharacterized LOC117687522	141
LOC105331056	uncharacterized LOC105331056_misc_RNA	1
LOC105333317	microfibril-associated glycoprotein 4	152
LOC117687523	uncharacterized LOC117687523_ncRNA	4
LOC105327053	uncharacterized LOC105327053_misc_RNA	0
LOC105327045	microfibril-associated glycoprotein 4-like	2
LOC105331963	microfibril-associated glycoprotein 4-like	14
LOC105327044	mucin-2-like	5
LOC117687525	uncharacterized LOC117687525_ncRNA	9
LOC105327043	tenascin-like	16
LOC105327052	uncharacterized LOC105327052	4
LOC105327050	protein jagged-1	17
LOC117687526	uncharacterized LOC117687526_ncRNA	0
LOC117688533	uncharacterized LOC117688533	0
LOC105346889	ryncolin-2-like	7
LOC117687524	uncharacterized LOC117687524_ncRNA	4
LOC105322823	perlucin-like protein	3
LOC105322824	C-type lectin domain family 10 member A-like	259
LOC105339708	hepatic lectin	0
LOC117688534	zinc finger CCHC domain-containing protein 3-like	2
LOC117688535	uncharacterized protein F54H12.2-like	0
LOC105326557	myosin-9-like	15
LOC105339710	perlucin-like protein	0
LOC117688536	ribosomal protein VAR1, mitochondrial-like	0
LOC117686794	uncharacterized LOC117686794_ncRNA	357
LOC117686795	uncharacterized LOC117686795	58
LOC117686796	uncharacterized LOC117686796_ncRNA	1
LOC117686797	plasminogen-like	7
LOC117686798	uncharacterized LOC117686798	3
LOC117686799	IgGFc-binding protein-like	0
LOC117688070	CD209 antigen-like protein C	4
LOC109620878	uncharacterized LOC109620878_ncRNA	3
LOC105346030	perlucin-like protein	2
LOC117688537	uncharacterized protein K02A2.6-like	103
LOC117688068	uncharacterized LOC117688068	0
LOC117688069	uncharacterized LOC117688069	0
LOC105326355	myb-related transcription factor, partner of profilin	1
LOC117688072	putative nuclease HARBI1	0
LOC105328120	uncharacterized LOC105328120	73
LOC117688071	collectin-12-like	8
LOC117687186	uncharacterized LOC117687186_ncRNA	0
LOC105340048	C-type lectin BfL-2	2
LOC117687068	uncharacterized LOC117687068	0
LOC117687069	uncharacterized LOC117687069	0
LOC117687270	uncharacterized LOC117687270_ncRNA	0
LOC105340047	NKG2-A/NKG2-B type II integral membrane protein	17
LOC117688300	uncharacterized LOC117688300_ncRNA	0
LOC117688301	uncharacterized LOC117688301	0
LOC117688302	uncharacterized LOC117688302	0
LOC117688303	uncharacterized LOC117688303_ncRNA	1
LOC105340013	uncharacterized LOC105340013	1
LOC109618271	C-type lectin domain family 5 member A-like	4
LOC117688304	uncharacterized LOC117688304	0
LOC105324601	IgGFc-binding protein	4
LOC117688305	uncharacterized LOC117688305_ncRNA	102
LOC117688306	uncharacterized LOC117688306_ncRNA	0
LOC105340014	uncharacterized LOC105340014	1
LOC117688307	uncharacterized LOC117688307	0
LOC117688308	uncharacterized LOC117688308	2
LOC109618706	ficolin-2-like	6
LOC117688538	uncharacterized LOC117688538	0
LOC117687599	uncharacterized LOC117687599_ncRNA	0
LOC117687563	uncharacterized LOC117687563	0
LOC105343433	uncharacterized LOC105343433	0
LOC105343434	uncharacterized LOC105343434	4
LOC105318219	uncharacterized LOC105318219	296
LOC105318217	potassium voltage-gated channel protein Shaw	50
LOC117687659	putative protein TPRXL	44
LOC105343517	lysophosphatidic acid phosphatase type 6	3259
LOC117687660	uncharacterized LOC117687660	48
LOC105343511	uncharacterized LOC105343511	0
LOC105343512	uncharacterized LOC105343512	26
LOC117687661	uncharacterized LOC117687661	4
LOC117687662	uncharacterized LOC117687662	31
LOC109620675	uncharacterized LOC109620675_ncRNA	26
LOC105344069	collagen alpha-6(VI) chain	130
LOC105344083	dihydrofolate reductase	6844
LOC105344082	uncharacterized LOC105344082_ncRNA	345
LOC109620684	dihydrofolate reductase-like	113
LOC105344120	neurotrypsin	32
LOC117687663	uncharacterized LOC117687663_ncRNA	74
LOC105344091	prostaglandin E2 receptor EP4 subtype	76
LOC105344097	uncharacterized LOC105344097	1634
LOC109620674	scavenger receptor class F member 1	1
LOC117688539	tyrosine-protein phosphatase non-receptor type 11-like	1
LOC117686807	uncharacterized LOC117686807_ncRNA	0
LOC105344444	receptor-type tyrosine-protein phosphatase alpha	1
LOC117688540	uncharacterized LOC117688540	1
LOC105344435	uncharacterized LOC105344435	18
LOC117687220	uncharacterized LOC117687220_ncRNA	0
LOC105318691	uncharacterized LOC105318691	0
LOC105342568	uncharacterized LOC105342568	0
LOC105345636	multiple epidermal growth factor-like domains protein 6	0
LOC105333551	protein draper-like	21
LOC105333605	multiple epidermal growth factor-like domains protein 10	6
LOC105333541	multiple epidermal growth factor-like domains protein 10	5
LOC117688198	uncharacterized LOC117688198_ncRNA	699
LOC105333599	protein PIF	49
LOC105319418	uncharacterized LOC105319418	0
LOC117688199	uncharacterized LOC117688199_ncRNA	0
LOC105344437	receptor-type tyrosine-protein phosphatase T	4
LOC105342635	multiple epidermal growth factor-like domains protein 10	3
LOC109621196	uncharacterized LOC109621196	1
LOC105348153	tyrosine-protein phosphatase non-receptor type 22	0
LOC117687946	uncharacterized LOC117687946_ncRNA	61
LOC117687947	uncharacterized LOC117687947_ncRNA	11
LOC105323004	receptor-type tyrosine-protein phosphatase epsilon-like	17
LOC117688541	uncharacterized LOC117688541	8
LOC105348152	uncharacterized LOC105348152	0
LOC117687948	uncharacterized LOC117687948_ncRNA	0
LOC117688542	ankyrin repeat domain-containing protein 17-like	0
LOC105345162	transformation/transcription domain-associated protein	4663
LOC105327327	uncharacterized LOC105327327	0
LOC117687269	uncharacterized LOC117687269	2
LOC105323668	uncharacterized LOC105323668	1
LOC105323666	uncharacterized LOC105323666	0
LOC117687247	uncharacterized LOC117687247	24
LOC117687156	uncharacterized LOC117687156	0
LOC117687316	uncharacterized LOC117687316	0
LOC117687101	uncharacterized LOC117687101	0
LOC105337984	mothers against decapentaplegic homolog 3	10829
LOC105337986	laccase-1	21
LOC105337985	laccase-5	5
LOC117688151	iron multicopper oxidase fer1-like	2
LOC117688152	L-ascorbate oxidase-like	44
LOC117688153	uncharacterized LOC117688153_ncRNA	0
LOC117688154	uncharacterized LOC117688154_ncRNA	0
LOC105337231	glycine-rich cell wall structural protein 1.8	0
LOC105337230	glycine-rich cell wall structural protein 1.0	0
LOC105337228	glycine-rich cell wall structural protein 1.0	0
LOC105337265	glycine-rich cell wall structural protein 1.8-like	0
LOC105339633	P2X purinoceptor 7	63
LOC105339632	uncharacterized LOC105339632	760
LOC105337262	multiple epidermal growth factor-like domains protein 6	0
LOC105337225	protein draper	4
LOC105337224	multiple epidermal growth factor-like domains protein 10	0
LOC117686949	uncharacterized LOC117686949_ncRNA	0
LOC105331787	multiple epidermal growth factor-like domains protein 10	21
LOC117686950	uncharacterized LOC117686950_ncRNA	0
LOC117688543	multiple epidermal growth factor-like domains protein 10	0
LOC105337223	multiple epidermal growth factor-like domains protein 10	0
LOC117688544	multiple epidermal growth factor-like domains protein 10	0
LOC117687701	scavenger receptor class F member 1-like	0
LOC105337220	UPF0394 inner membrane protein YeeE	42
LOC105337218	uncharacterized LOC105337218	224
LOC117688545	integumentary mucin C.1-like	678
LOC105337260	E3 ubiquitin-protein ligase arkadia-A	4860
LOC105334861	prostate-associated microseminoprotein	202
LOC105328094	centrosomal protein of 78 kDa	4381
LOC117686813	uncharacterized LOC117686813	11
LOC105328095	fumarylacetoacetase	3544
LOC105328096	methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	3204
LOC105328097	echinoderm microtubule-associated protein-like 2	17
LOC117687858	uncharacterized LOC117687858	0
LOC105330810	calcium and integrin-binding protein 1-like	0
LOC105337517	uncharacterized LOC105337517	2
LOC105337524	uncharacterized LOC105337524	0
LOC105337534	uncharacterized LOC105337534	1
LOC105330336	uncharacterized LOC105330336	5
LOC117687859	uncharacterized LOC117687859_ncRNA	0
LOC117688231	putative nuclease HARBI1	0
LOC105337464	uncharacterized LOC105337464	10
LOC105338436	uncharacterized LOC105338436	24
LOC117688546	LIM and SH3 domain protein 1-like_partial mRNA	115
LOC117688232	uncharacterized LOC117688232_ncRNA	0
LOC105337491	uncharacterized LOC105337491_ncRNA	0
LOC117688233	uncharacterized LOC117688233	1
LOC117688547	uncharacterized protein K02A2.6-like	0
LOC117687273	uncharacterized LOC117687273_ncRNA	0
LOC117688337	uncharacterized LOC117688337_ncRNA	2
LOC117688548	putative ATP-dependent DNA helicase Q1	0
LOC105328498	uncharacterized LOC105328498	7
LOC117688338	uncharacterized LOC117688338_ncRNA	66
LOC117688339	uncharacterized LOC117688339	0
LOC117688340	uncharacterized LOC117688340	0
LOC105332632	uncharacterized LOC105332632	0
LOC117687056	uncharacterized LOC117687056	0
LOC117687057	uncharacterized LOC117687057	0
LOC117687058	uncharacterized LOC117687058_ncRNA	0
LOC117687017	uncharacterized LOC117687017	0
LOC117687030	uncharacterized LOC117687030	0
LOC117688549	uncharacterized LOC117688549	0
LOC117687189	uncharacterized LOC117687189	0
LOC117687161	uncharacterized LOC117687161	1
LOC105339763	uncharacterized LOC105339763	0
LOC117687091	uncharacterized LOC117687091	0
LOC117687024	uncharacterized LOC117687024	1
LOC117687026	uncharacterized LOC117687026	0
LOC117687311	uncharacterized LOC117687311	0
LOC117687093	calcium and integrin-binding protein 1-like	142
LOC105329684	uncharacterized LOC105329684	2
LOC105329686	transcription initiation factor IIA subunit 2	543
LOC117680460	lysM and putative peptidoglycan-binding domain-containing protein 2-like	2307
LOC117687564	ferrochelatase, mitochondrial-like	1008
LOC117687565	uncharacterized LOC117687565	38
LOC105329690	selenocysteine insertion sequence-binding protein 2-like	2875
LOC105329691	ras-related protein Rab-13-like	64
LOC117687566	uncharacterized protein YBL113C-like	46
LOC117687567	ras-related protein Rab-8A-like	7880
LOC105329695	ras-related protein Rab-31	2873
LOC105329696	histidine triad nucleotide-binding protein 1	2488
LOC105329699	uncharacterized LOC105329699	7
LOC117687568	uncharacterized LOC117687568	35
LOC105324438	uncharacterized LOC105324438	5
LOC117687569	uncharacterized LOC117687569_ncRNA	2
LOC117687570	uncharacterized LOC117687570	0
LOC117688550	uncharacterized LOC117688550	23
LOC117687571	uncharacterized LOC117687571_ncRNA	7
LOC117688551	uncharacterized LOC117688551	3
LOC117687572	uncharacterized LOC117687572_ncRNA	0
LOC117687573	uncharacterized LOC117687573_ncRNA	0
LOC117687574	uncharacterized LOC117687574	0
LOC105323495	uncharacterized LOC105323495	0
LOC105324437	uncharacterized LOC105324437	0
LOC117687575	uncharacterized LOC117687575	1
LOC117687576	tripartite motif-containing protein 45-like	0
LOC117687577	uncharacterized LOC117687577	1
LOC117688552	uncharacterized LOC117688552	0
LOC117688553	uncharacterized LOC117688553	0
LOC105346519	uncharacterized LOC105346519	0
LOC117688155	uncharacterized LOC117688155_ncRNA	6
LOC117688156	uncharacterized LOC117688156	11
LOC117688157	tripartite motif-containing protein 45-like	0
LOC109619929	uncharacterized LOC109619929	0
LOC117688158	mothers against decapentaplegic homolog 3-like	2
LOC109619930	laccase-4	14
LOC117688159	uncharacterized LOC117688159_ncRNA	0
LOC117688554	uncharacterized LOC117688554	0
LOC117688160	microfibril-associated glycoprotein 4-like	0
LOC105332273	ficolin-1	0
LOC105340230	uncharacterized LOC105340230	0
LOC117687262	uncharacterized LOC117687262_ncRNA	0
LOC105337989	iron transport multicopper oxidase fetC	0
LOC105337990	L-ascorbate oxidase	29
LOC117687047	uncharacterized LOC117687047	0
LOC105321357	uncharacterized LOC105321357_ncRNA	2
LOC117687046	uncharacterized LOC117687046	1
LOC117687540	uncharacterized LOC117687540	0
LOC117687242	uncharacterized LOC117687242_ncRNA	0
LOC117687188	uncharacterized LOC117687188_ncRNA	1
LOC117687481	glycine-rich cell wall structural protein 1.8-like	0
LOC117688555	glycine-rich cell wall structural protein 1.0-like	0
LOC117688556	glycine-rich protein DOT1-like	0
LOC105337264	N66 matrix protein-like	0
LOC117686918	uncharacterized LOC117686918	0
LOC117688557	uncharacterized LOC117688557	15
LOC117686920	uncharacterized LOC117686920_ncRNA	0
LOC117686919	uncharacterized LOC117686919_ncRNA	3
LOC117687126	uncharacterized LOC117687126	27
LOC117687073	RNA polymerase II degradation factor 1-like	56
LOC105347960	uncharacterized LOC105347960	0
LOC117687989	uncharacterized LOC117687989	0
LOC117686901	uncharacterized LOC117686901	4
LOC105347959	uncharacterized LOC105347959	1
LOC105347957	uncharacterized LOC105347957	0
LOC105347956	uncharacterized LOC105347956	2
LOC117687153	uncharacterized LOC117687153	2
LOC117687190	uncharacterized LOC117687190	0
LOC117687784	uncharacterized LOC117687784	0
LOC117687128	uncharacterized LOC117687128	0
LOC105329681	hypothetical protein	0
LOC117687334	uncharacterized LOC117687334_ncRNA	6
LOC117687597	uncharacterized LOC117687597_ncRNA	5
LOC105329682	uncharacterized LOC105329682	0
LOC105319335	uncharacterized LOC105319335	0
LOC117687064	uncharacterized LOC117687064	0
LOC105329683	calcium and integrin-binding protein 1	187
LOC117687427	uncharacterized LOC117687427	0
LOC117687430	uncharacterized LOC117687430_ncRNA	4
LOC117687428	transcription initiation factor IIA subunit 2-like	1289
LOC105329687	lysM and putative peptidoglycan-binding domain-containing protein 2	669
LOC117687425	uncharacterized LOC117687425	6
LOC117687426	uncharacterized LOC117687426	4
LOC117687429	transcription initiation factor IIA subunit 2-like	3
LOC105329689	ferrochelatase, mitochondrial	2153
LOC105329688	uncharacterized LOC105329688	14
LOC117687431	selenocysteine insertion sequence-binding protein 2-like	3798
LOC117687432	ras-related protein Rab-13-like	108
LOC105329693	uncharacterized LOC105329693	121
LOC105329694	ras-related protein Rab-8A	6854
LOC117680417	ras-related protein Rab-31-like	236
LOC117687434	uncharacterized LOC117687434_ncRNA	43
LOC117687433	histidine triad nucleotide-binding protein 1-like	5629
LOC117687435	uncharacterized LOC117687435	51
LOC117687436	transcription intermediary factor 1-beta-like	14
LOC117687438	uncharacterized LOC117687438	0
LOC117687439	uncharacterized LOC117687439	0
LOC105329698	uncharacterized LOC105329698	68
LOC117687440	transcription intermediary factor 1-beta-like	0
LOC117687441	uncharacterized LOC117687441	12
LOC117687442	uncharacterized LOC117687442	2
LOC105337701	mothers against decapentaplegic homolog 3	0
LOC117687443	laccase-4-like	0
LOC105337706	uncharacterized LOC105337706	5
LOC105337702	laccase-4	1
LOC105343066	kinesin-like protein KIN-7M, chloroplastic	990
LOC117680554	uncharacterized LOC117680554	364
LOC105343065	E3 ubiquitin-protein ligase NEURL1B	1510
LOC117687307	uncharacterized LOC117687307	96
LOC117687308	uncharacterized LOC117687308	474
LOC105343064	uncharacterized LOC105343064	2069
LOC105343062	uncharacterized LOC105343062	92
LOC105336741	extensin	248
LOC105336742	uncharacterized LOC105336742	7730
LOC105336743	acetylcholine receptor subunit beta	259
LOC105336744	uncharacterized LOC105336744	5
LOC105336745	protogenin	535
LOC105330604	uncharacterized LOC105330604	42
LOC105344101	calcium and integrin-binding protein 1	1381
LOC105344104	nuclear pore complex protein Nup58	3118
LOC105344102	uncharacterized LOC105344102	249
LOC105347766	cytochrome P450 3A28	130
LOC117688175	uncharacterized LOC117688175	95
LOC117688176	uncharacterized LOC117688176	2126
LOC105338045	26S proteasome non-ATPase regulatory subunit 14	4284
LOC105347786	uncharacterized LOC105347786	56
LOC105338054	uncharacterized LOC105338054	2739
LOC117688177	26S proteasome non-ATPase regulatory subunit 14	3148
LOC105338015	kelch-like protein 3	4
LOC109619954	uncharacterized LOC109619954_ncRNA	76
LOC105342641	uncharacterized LOC105342641	48
LOC117688180	kelch-like protein 26	1
LOC117688183	uncharacterized LOC117688183	143
LOC117688178	uncharacterized LOC117688178	59
LOC117688179	uncharacterized LOC117688179	56
LOC117688186	uncharacterized LOC117688186_ncRNA	1760
LOC105345712	uncharacterized LOC105345712	58
LOC117688187	uncharacterized LOC117688187_ncRNA	9
LOC117688182	kelch-like protein 3	8
LOC117688188	uncharacterized LOC117688188_ncRNA	626
LOC105338033	uncharacterized LOC105338033	0
LOC117688184	uncharacterized LOC117688184_ncRNA	21
LOC105317460	uncharacterized LOC105317460	242
LOC117688181	kelch-like protein 3	13
LOC117688189	uncharacterized LOC117688189_ncRNA	105
LOC105323166	kelch-like protein 5	39
LOC117688185	uncharacterized LOC117688185_ncRNA	1530
LOC105338002	ubiquitin carboxyl-terminal hydrolase 8	3841
LOC105337988	39S ribosomal protein L21, mitochondrial	3386
LOC105338112	uncharacterized protein DDB_G0290685	28
LOC117680541	protein qua-1-like	17
LOC105338096	atrial natriuretic peptide receptor 1	917
LOC105344299	LRP chaperone MESD	4788
LOC105323169	uncharacterized LOC105323169	805
LOC105323168	corticotropin-releasing factor-binding protein	219
LOC105323167	40S ribosomal protein S27-like	14732
LOC105323165	adenomatous polyposis coli protein	8997
LOC117688195	uncharacterized LOC117688195_ncRNA	3542
LOC117688190	uncharacterized LOC117688190	49
LOC109619069	uncharacterized LOC109619069_ncRNA	916
LOC117688191	kelch-like protein 12	31
LOC105325503	mucin-5AC	2
LOC117680491	mucin-2-like	4
LOC105325492	mucin-2	143
LOC117688196	uncharacterized LOC117688196_ncRNA	276
LOC105325504	periostin	135
LOC105325493	liver carboxylesterase 4	1103
LOC117688193	carboxylesterase 1C-like	125
LOC105342497	mucin-19	31
LOC105342490	uncharacterized LOC105342490	52
LOC105342492	kinesin-like protein KIF23	11649
LOC105342493	blastula protease 10	1321
LOC105342494	putative uncharacterized protein DDB_G0271606	439
LOC117688558	placenta-specific protein 4-like	1
LOC105342495	uncharacterized LOC105342495_ncRNA	703
LOC117688194	uncharacterized LOC117688194	0
LOC105342498	acidic leucine-rich nuclear phosphoprotein 32 family member A	17543
LOC105342496	uncharacterized LOC105342496	149
LOC105320240	potassium voltage-gated channel subfamily H member 7	153
LOC105320219	tctex1 domain-containing protein 1	94
LOC105320218	uncharacterized LOC105320218	1309
LOC105320216	mucin-3A	2004
LOC105320215	polycystic kidney disease 2-like 1 protein	39
LOC109617509	uncharacterized LOC109617509_ncRNA	727
LOC105320214	uncharacterized LOC105320214	6587
LOC105320239	uncharacterized LOC105320239	125
LOC117688197	uncharacterized LOC117688197_ncRNA	12
LOC105320211	uncharacterized LOC105320211_ncRNA	209
LOC109620727	uncharacterized LOC109620727_ncRNA	57
LOC105320950	uncharacterized LOC105320950	46
LOC117688279	uncharacterized LOC117688279	4330
LOC117688280	uncharacterized LOC117688280_ncRNA	857
LOC117688281	uncharacterized LOC117688281_ncRNA	0
LOC117688559	uncharacterized LOC117688559	416
LOC105320555	uncharacterized LOC105320555	76
LOC117688282	uncharacterized LOC117688282_ncRNA	132
LOC105324052	zinc finger protein 436	466
LOC117687277	uncharacterized LOC117687277	19
LOC117680332	uncharacterized LOC117680332	4471
LOC105343846	uncharacterized LOC105343846_ncRNA	9533
LOC117688560	uncharacterized LOC117688560	13
LOC105333531	ankyrin-1	46
LOC117688341	ankyrin-1-like	17
LOC117688561	uncharacterized LOC117688561_partial mRNA	0
LOC117686926	dnaJ homolog subfamily A member 1-like	2626
LOC105328389	receptor-type tyrosine-protein phosphatase epsilon-like	119
LOC117687876	receptor-type tyrosine-protein phosphatase T-like	500
LOC105323301	protein FAM210B, mitochondrial-like	1801
LOC105323299	carnosine N-methyltransferase	3659
LOC105323297	dymeclin	776
LOC105323497	uncharacterized LOC105323497	4
LOC105343176	multiple epidermal growth factor-like domains protein 10	172
LOC105329029	AP-4 complex subunit epsilon-1-like	405
LOC105340916	uncharacterized LOC105340916	375
LOC105342922	3-oxo-5-alpha-steroid 4-dehydrogenase 1-like	347
LOC105342921	DC-STAMP domain-containing protein 2	109
LOC117687880	uncharacterized LOC117687880_ncRNA	0
LOC117687879	carboxypeptidase A4-like	8
LOC105339402	receptor-type tyrosine-protein phosphatase T	87
LOC117687878	THAP domain-containing protein 2-like	0
LOC109617306	uncharacterized LOC109617306_ncRNA	14
LOC105339403	UPF0394 inner membrane protein YeeE	1001
LOC105339404	uncharacterized LOC105339404	8
LOC117687883	receptor-type tyrosine-protein phosphatase epsilon-like	153
LOC105325220	uncharacterized protein DDB_G0283697-like	1266
LOC105341949	serine protease 30-like	37
LOC117687885	uncharacterized LOC117687885_ncRNA	1706
LOC105349181	uncharacterized LOC105349181	33
LOC117687882	uncharacterized LOC117687882	446
LOC105331575	chymotrypsin-like protease CTRL-1	913
LOC105331574	biogenesis of lysosome-related organelles complex 1 subunit 6	2976
LOC105320967	proteasome subunit beta type-4	11763
LOC105320968	carboxypeptidase A2-like	72
LOC117687881	receptor-type tyrosine-protein phosphatase T-like	202
LOC117680458	UPF0394 inner membrane protein YeeE-like	527
LOC117687884	uncharacterized LOC117687884	15
LOC105339410	receptor-type tyrosine-protein phosphatase epsilon-like	95
LOC105342917	hepatoma-derived growth factor-related protein 2	9831
LOC105342918	guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase MESH1	3107
